模型类型,实验次数,学习率,隐藏层大小,训练损失值,测试集准确率,验证集每100条预测耗时(s),训练时间(s)
贝叶斯,1,0.0,0,0.0,0.870671672924489,0.02971851825714111,3.9403269290924072
贝叶斯,2,0.0,0,0.0,0.870671672924489,0.03036216894785563,3.2806668281555176
贝叶斯,3,0.0,0,0.0,0.870671672924489,0.03308284282684326,4.484557151794434
SVM,1,0.1,0,0.0,0.8335419274092616,0.021150489648183186,3.310299873352051
SVM,2,1.0,0,0.0,0.8669169795577806,0.01598517100016276,2.6396708488464355
SVM,3,10.0,0,0.0,0.8385481852315394,0.013565520445505777,3.986509084701538
SVM,4,1.0,0,0.0,0.8685857321652065,0.038675824801127114,4.2273108959198
SVM,5,10.0,0,0.0,0.8544013350020859,0.03208210070927938,6.587072134017944
CNN,1,0.001,128,0.2968517036457169,0.8781810596579057,0.1003719170888265,128.65191197395325
CNN,2,0.001,256,0.2933405619049811,0.8744263662911973,0.10216148694356282,1733.5639259815216
CNN,3,0.0001,128,0.4830119874125017,0.8272841051314143,0.10806516806284587,144.056804895401
CNN,4,0.001,128,0.2864743737128693,0.8819357530246141,0.16640090942382812,205.76460528373718
CNN,5,0.0005,256,0.3147404914732059,0.8723404255319149,0.29042158524195355,231.04188799858093
LSTM,1,0.001,128,0.3157974576189919,0.8890279516061744,0.12329926093419394,181.97091937065125
LSTM,2,0.001,256,0.3050760027631247,0.851063829787234,0.28824031352996826,2020.1153297424316
LSTM,3,0.0001,128,0.49741538657690254,0.836462244472257,0.12284276882807414,169.11767292022705
